Origin State,Count
Massachusetts,6
Maine,3
Connecticut,3
New Jersey,3
Rhode Island,3
Michigan,3
New York,3
Minnesota,2
Vermont,2
Wisconsin,2
New Hampshire,2
Pennsylvania,2
Indiana,1
Maryland,1
Louisiana,1
Kansas,1
Wyoming,1
Illinois,1
Idaho,1
Georgia,1
Florida,1
District of Columbia,1
Colorado,1
California,1
Arizona,1
Alaska,1
Hawaii,1
Montana,1
Mississippi,1
Missouri,1
Washington,1
Virginia,1
Utah,1
Texas,1
Tennessee,1
South Dakota,1
South Carolina,1
STATE2_NAME,1
Oregon,1
Oklahoma,1
Ohio,1
North Carolina,1
New Mexico,1
Nevada,1
Nebraska,1
Alabama,1
